time_s,left_tick,right_tick
21.251596451,10775551,11174203
21.319634676,10775551,11174203
21.341803789,10775551,11174203
21.400176764,10775551,11174203
21.455986739,10775551,11174203
21.539609909,10775551,11174203
21.544835329,10775551,11174203
21.61301589,10775551,11174203
21.679355145,10775551,11174203
21.693364382,10775551,11174203
21.748815775,10775551,11174203
21.82391572,10775551,11174203
21.843040228,10775551,11174203
21.904325486,10775551,11174203
21.978108645,10775551,11174203
21.995224715,10775551,11174203
22.045672179,10775551,11174203
22.108891011,10775551,11174203
22.155646086,10775551,11174203
22.199309111,10775551,11174203
22.275705576,10775551,11174203
22.293429137,10775551,11174203
22.348062039,10775551,11174203
22.419760466,10775551,11174203
22.463350058,10775551,11174203
22.494565726,10775551,11174203
22.555521965,10775551,11174203
22.623640776,10775551,11174203
22.644818545,10775551,11174203
22.70380497,10775551,11174203
22.751648426,10775551,11174203
22.794079543,10775551,11174203
22.855971575,10775551,11174203
22.935523749,10775551,11174203
22.944440604,10775551,11174203
23.007962466,10775551,11174203
23.087635756,10775551,11174203
23.094870806,10775551,11174203
23.163748265,10775551,11174203
23.239469052,10775551,11174203
23.243857861,10775551,11174203
23.316021681,10775551,11174203
23.387454987,10775551,11174203
23.394299031,10775551,11174203
23.460164786,10775551,11174203
23.531936169,10775551,11174203
23.544190646,10775551,11174203
23.607968808,10775551,11174203
23.675326825,10775551,11174203
23.693693638,10775551,11174203
23.752325058,10775551,11174203
23.827391386,10775551,11174203
23.84395814,10775551,11174203
23.903872252,10775551,11174203
23.976014138,10775551,11174203
23.993305683,10775551,11174203
24.051534653,10775551,11174203
24.119597197,10775551,11174203
24.191332341,10775551,11174203
24.194032669,10775551,11174203
24.267807246,10775551,11174203
24.314557076,10775551,11174203
24.34275651,10775551,11174203
24.411841631,10775551,11174203
24.467355252,10775551,11174203
24.49171567,10775551,11174203
24.551818371,10775551,11174203
24.620211363,10775551,11174203
24.695535422,10775551,11174203
24.697814465,10775551,11174203
24.767648936,10775551,11174203
24.835746765,10775551,11174203
24.842525006,10775551,11174203
24.916538477,10775551,11174203
24.991539002,10775551,11174203
24.99240613,10775551,11174203
25.072158575,10775551,11174203
25.143621922,10775551,11174203
25.14591384,10775551,11174203
25.212187291,10775551,11174203
25.280060292,10775551,11174203
25.295893431,10775551,11174203
25.35200572,10775551,11174203
25.425193549,10775551,11174203
25.47900343,10775551,11174203
25.493155718,10775551,11174203
25.559981108,10775551,11174203
25.627386093,10775551,11174203
25.643380404,10775551,11174203
25.703905106,10775551,11174203
25.779037714,10775551,11174203
25.80677104,10775551,11174203
25.851703167,10775551,11174203
25.925236941,10775551,11174203
25.942274571,10775551,11174203
26.004302264,10775551,11174203
26.079902888,10775551,11174203
26.092601061,10775551,11174203
26.151696682,10775551,11174203
26.227630616,10775551,11174203
26.241654396,10775551,11174203
26.303898573,10775551,11174203
26.352490664,10775551,11174203
26.447406769,10775551,11174203
26.448701859,10775551,11174203
26.520735741,10775551,11174203
26.591940165,10775551,11174203
26.594080687,10775551,11174203
26.656511784,10775551,11174203
26.711788178,10775551,11174203
26.742712975,10775551,11174203
26.816722632,10775551,11174203
26.863609314,10775551,11174203
26.893133879,10775551,11174203
26.967860461,10775551,11174203
27.039425612,10775551,11174203
27.042624235,10775551,11174203
27.111707688,10775551,11174203
27.179339171,10775551,11174203
27.191971779,10775551,11174203
27.247522831,10775551,11174203
27.319799424,10775551,11174203
27.387116433,10775551,11174203
27.393271447,10775551,11174203
27.455871582,10775551,11174203
27.531591177,10775551,11174203
27.543963433000002,10775551,11174203
27.604808569,10775551,11174203
27.680018664,10775551,11174203
27.693783045,10775551,11174203
27.744693995,10775551,11174203
27.795463562,10775551,11174203
27.845870257,10775551,11174203
27.919595003,10775551,11174203
27.991314412,10775551,11174203
27.995181799,10775551,11174203
28.064222098,10775551,11174203
28.12662983,10775551,11174203
28.144872427,10775551,11174203
28.227660656,10775551,11174203
28.24311018,10775551,11174203
28.295916081,10775551,11174203
28.368127823000002,10775551,11174203
28.444390296999998,10775551,11174203
28.448031426,10775551,11174203
28.515650034,10775551,11174203
