time_s,linear_mps,angular_radps
36.294026137,0.0,-0.45
36.314309359,0.0,-0.45
36.334078551,0.0,-0.45
36.353951931,0.0,-0.45
36.373932362,0.0,-0.45
36.394209147,0.0,-0.45
36.414032221,0.0,-0.45
36.43398571,0.0,-0.45
36.453931094,0.0,-0.45
36.473868132,0.0,-0.45
36.493968487,0.0,-0.45
36.513906479,0.0,-0.45
36.533945322,0.0,-0.45
36.554025412,0.0,-0.45
36.574237824,0.0,-0.45
36.59409833,0.0,-0.45
36.613891363,0.0,-0.45
36.633980513,0.0,-0.45
36.653920651,0.0,-0.45
36.674152851,0.0,-0.45
36.694356919,0.0,-0.45
36.714104653,0.0,-0.45
36.734172583,0.0,-0.45
36.754930497,0.0,-0.45
36.774027825,0.0,-0.45
36.793943882,0.0,-0.45
36.81405139,0.0,-0.45
36.833962441,0.0,-0.45
36.853775263,0.0,-0.45
36.874185562,0.0,-0.45
36.894147396,0.0,-0.45
36.914489985,0.0,-0.45
36.93408823,0.0,-0.45
36.953902006,0.0,-0.45
36.973935843,0.0,-0.45
36.994144917,0.0,-0.45
37.013747454,0.0,-0.45
37.033979178,0.0,-0.45
37.053874255,0.0,-0.45
37.074061871,0.0,-0.45
37.094897986,0.0,-0.45
37.113955021,0.0,-0.45
37.134002209,0.0,-0.45
37.153944493,0.0,-0.45
37.173970461,0.0,-0.45
37.19434166,0.0,-0.45
37.214112521,0.0,-0.45
37.23394537,0.0,-0.45
37.253890992,0.0,-0.45
37.273865223,0.0,-0.45
37.294945479,0.0,-0.45
37.313932896,0.0,-0.45
37.334074498,0.0,-0.45
37.353899718,0.0,-0.45
37.373972893,0.0,-0.45
37.393931628,0.0,-0.45
37.414372921,0.0,-0.45
37.43394661,0.0,-0.45
37.453930617,0.0,-0.45
37.47404933,0.0,-0.45
37.494066477,0.0,-0.45
37.514351607,0.0,-0.45
37.534267187,0.0,-0.45
37.553939104,0.0,-0.45
37.574026347,0.0,-0.45
37.593978405,0.0,-0.45
37.613877297,0.0,-0.45
37.634110213,0.0,-0.45
37.654091597,0.0,-0.45
37.674015284,0.0,-0.45
37.69398737,0.0,-0.45
37.713854075,0.0,-0.45
37.734005690000004,0.0,-0.45
37.753988028,0.0,-0.45
37.774193287,0.0,-0.45
37.794001818,0.0,-0.45
37.813893557,0.0,-0.45
37.834052801,0.0,-0.45
37.854279757,0.0,-0.45
37.874104262,0.0,-0.45
37.894122601,0.0,-0.45
37.914008618,0.0,-0.45
37.934140921,0.0,-0.45
37.9541924,0.0,-0.45
37.973815203,0.0,-0.45
37.993937493,0.0,-0.45
38.013830185,0.0,-0.45
38.033984185,0.0,-0.45
38.054105521,0.0,-0.45
38.073999644,0.0,-0.45
38.093946934,0.0,-0.45
38.113898993,0.0,-0.45
38.13484478,0.0,-0.45
